1e-06,1e-06,1e-06,1
1e-06,1e-06,0.083333,0.91667
1e-06,1e-06,0.16667,0.83333
1e-06,1e-06,0.25,0.75
1e-06,1e-06,0.33333,0.66667
1e-06,1e-06,0.41667,0.58333
1e-06,1e-06,0.5,0.5
1e-06,1e-06,0.58333,0.41667
1e-06,1e-06,0.66667,0.33333
1e-06,1e-06,0.75,0.25
1e-06,1e-06,0.83333,0.16667
1e-06,1e-06,0.91667,0.083333
1e-06,1e-06,1,1e-06
1e-06,0.083333,1e-06,0.91667
1e-06,0.083333,0.083333,0.83333
1e-06,0.083333,0.16667,0.75
1e-06,0.083333,0.25,0.66667
1e-06,0.083333,0.33333,0.58333
1e-06,0.083333,0.41667,0.5
1e-06,0.083333,0.5,0.41667
1e-06,0.083333,0.58333,0.33333
1e-06,0.083333,0.66667,0.25
1e-06,0.083333,0.75,0.16667
1e-06,0.083333,0.83333,0.083333
1e-06,0.083333,0.91667,1e-06
1e-06,0.16667,1e-06,0.83333
1e-06,0.16667,0.083333,0.75
1e-06,0.16667,0.16667,0.66667
1e-06,0.16667,0.25,0.58333
1e-06,0.16667,0.33333,0.5
1e-06,0.16667,0.41667,0.41667
1e-06,0.16667,0.5,0.33333
1e-06,0.16667,0.58333,0.25
1e-06,0.16667,0.66667,0.16667
1e-06,0.16667,0.75,0.083333
1e-06,0.16667,0.83333,1e-06
1e-06,0.25,1e-06,0.75
1e-06,0.25,0.083333,0.66667
1e-06,0.25,0.16667,0.58333
1e-06,0.25,0.25,0.5
1e-06,0.25,0.33333,0.41667
1e-06,0.25,0.41667,0.33333
1e-06,0.25,0.5,0.25
1e-06,0.25,0.58333,0.16667
1e-06,0.25,0.66667,0.083333
1e-06,0.25,0.75,1e-06
1e-06,0.33333,1e-06,0.66667
1e-06,0.33333,0.083333,0.58333
1e-06,0.33333,0.16667,0.5
1e-06,0.33333,0.25,0.41667
1e-06,0.33333,0.33333,0.33333
1e-06,0.33333,0.41667,0.25
1e-06,0.33333,0.5,0.16667
1e-06,0.33333,0.58333,0.083333
1e-06,0.33333,0.66667,1e-06
1e-06,0.41667,1e-06,0.58333
1e-06,0.41667,0.083333,0.5
1e-06,0.41667,0.16667,0.41667
1e-06,0.41667,0.25,0.33333
1e-06,0.41667,0.33333,0.25
1e-06,0.41667,0.41667,0.16667
1e-06,0.41667,0.5,0.083333
1e-06,0.41667,0.58333,1e-06
1e-06,0.5,1e-06,0.5
1e-06,0.5,0.083333,0.41667
1e-06,0.5,0.16667,0.33333
1e-06,0.5,0.25,0.25
1e-06,0.5,0.33333,0.16667
1e-06,0.5,0.41667,0.083333
1e-06,0.5,0.5,1e-06
1e-06,0.58333,1e-06,0.41667
1e-06,0.58333,0.083333,0.33333
1e-06,0.58333,0.16667,0.25
1e-06,0.58333,0.25,0.16667
1e-06,0.58333,0.33333,0.083333
1e-06,0.58333,0.41667,1e-06
1e-06,0.66667,1e-06,0.33333
1e-06,0.66667,0.083333,0.25
1e-06,0.66667,0.16667,0.16667
1e-06,0.66667,0.25,0.083333
1e-06,0.66667,0.33333,1e-06
1e-06,0.75,1e-06,0.25
1e-06,0.75,0.083333,0.16667
1e-06,0.75,0.16667,0.083333
1e-06,0.75,0.25,1e-06
1e-06,0.83333,1e-06,0.16667
1e-06,0.83333,0.083333,0.083333
1e-06,0.83333,0.16667,1e-06
1e-06,0.91667,1e-06,0.083333
1e-06,0.91667,0.083333,1e-06
